ID;SESSÃO;NOME_SISTEMA;NOME_CORRIGIDO;SESSÃO_CORRETA
181416;#03 LIMPEZA - LIMPEZA ROUPAS;AMAC ROUPAS YPÊ 2L ACONCHEGO L2L PG1,8L;AMACIANTE DE ROUPAS YPÊ 2L ACONCHEGO PROMOCIONAL;#03 LIMPEZA - AMACIANTES DE ROUPAS
245393;#03 LIMPEZA - LIMPEZA ROUPAS;AMACIANTE YPÊ ACONCHEGO L2 P1,6 L;AMACIANTE DE ROUPAS YPÊ 2L ACONCHEGO PROMOCIONAL;#03 LIMPEZA - AMACIANTES DE ROUPAS
107394;#03 LIMPEZA - LIMPEZA ROUPAS;AMAC ROUPAS YPÊ 2L CARINHO;AMACIANTE DE ROUPAS YPÊ 2L CARINHO;#03 LIMPEZA - AMACIANTES DE ROUPAS
107413;#03 LIMPEZA - LIMPEZA ROUPAS;AMACIANTE YPÊ 2L DELICADO BRANCO;AMACIANTE DE ROUPAS YPÊ 2L DELICADO BRANCO;#03 LIMPEZA - AMACIANTES DE ROUPAS
107393;#03 LIMPEZA - LIMPEZA ROUPAS;AMAC ROUPAS YPÊ 2L INTENSO;AMACIANTE DE ROUPAS YPÊ 2L INTENSO;#03 LIMPEZA - AMACIANTES DE ROUPAS
179914;#03 LIMPEZA - LIMPEZA ROUPAS;AMACIANTE YPÊ 2L INTENSO L2L P1,8L;AMACIANTE DE ROUPAS YPÊ 2L INTENSO PROMOCIONAL;#03 LIMPEZA - AMACIANTES DE ROUPAS
106712;#03 LIMPEZA - LIMPEZA ROUPAS;AMAC ROUPAS YPÊ 2LT TERNURA;AMACIANTE DE ROUPAS YPÊ 2L TERNURA;#03 LIMPEZA - AMACIANTES DE ROUPAS
295100;#03 LIMPEZA - LIMPEZA ROUPAS;AMACIANTE FOFO 500ML AZUL TUDAO CONCENTR;AMACIANTE FOFO 500ML AZUL TUDAO CONCENTRADO;#03 LIMPEZA - AMACIANTES DE ROUPAS
139059;#03 LIMPEZA - LIMPEZA ROUPAS;LAVA LOUCAS LIQ YPÊ LIMAO FRASCO 500ML;DETERGENTE LIQUIDO YPÊ 500ML LIMAO;#03 LIMPEZA - DETERGENTES PARA LOUÇAS
195115;#03 LIMPEZA - LIMPEZA ROUPAS;LAVA ROUPAS LIQUIDO TUFF 3L CONC;LAVA ROUPAS LIQUIDO TUFF 3L CONCENTRADO;#03 LIMPEZA - LAVA ROUPAS LÍQUIDO
289451;#03 LIMPEZA - LIMPEZA ROUPAS;SABÃO EM PÓ +CASA 5KG MULTIACAO SACHE;SABÃO EM PÓ +CASA SACHE 5KG MULTIACAO;#03 LIMPEZA - SABÃO EM PÓ
296910;#03 LIMPEZA - LIMPEZA ROUPAS;SABÃO EM PÓ ASSIM 800GR TRIPLACAO FLORAL;SABÃO EM PÓ ASSIM 800G TRIPLACAO FLORAL;#03 LIMPEZA - SABÃO EM PÓ
